tagName;className;locationX;locationY;isLink;hasCurrencySIgn;hasPercantage;hasNumber;hasPriceInName;innerText[:100]
a;fancydict;790;7930;True;False;False;True;False;usb x2
div;name;695;7972;False;False;False;False;False;ekran:
div;value;740;7972;False;False;False;True;False;55 cali
a;variant-itemjs-variant-item active-item variant-one;685;8006;True;False;False;False;False;
a;variant-itemjs-variant-item variant-one;685;8043;True;False;False;False;False;
a;depositories-button js-depositories;627;8009;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;8008;True;False;False;False;False;zadzwoń i zamów
div;price-normal selenium-price-normal;1033;7665;False;True;False;True;True;5 999 zł
span;price-instalments-label;1064;7735;False;False;False;False;True;raty:
a;price-instalments selenium-price-instalments js-scroll-by-hash;1117;7735;True;True;True;True;True;119,98 zł x 50 rat 0%
a;;1033;7840;True;False;False;False;False;wejdź do sklepu philips!
a;;1033;7860;True;False;False;False;False;darmowy transport
a;shop-delivery-action js-shop-delivery;1033;7885;True;False;False;False;False;do odbioru: już pojutrze!
span;;1055;7911;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1033;7939;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;8064;True;False;False;True;False;samsung ue43ru7472u
em;;498;8095;False;False;False;True;False;(50 opinii)
a;;564;8097;True;False;False;False;False;telewizor led
a;product-brand;639;8097;True;False;False;False;False;samsung
a;energy-card js-energy-card;786;8127;True;False;False;False;False;karta produktu
a;js-dictionary;679;8230;True;False;False;False;False;ekran
span;attribute-value;715;8230;False;False;False;True;False;43 cale, 4k uhd, 3840 x 2160
a;js-dictionary;679;8250;True;False;False;False;False;smart tv
span;attribute-value;732;8250;False;False;False;False;False;tak
a;js-dictionary;679;8270;True;False;False;False;False;częstotliwość odświeżania ekranu
span;attribute-value;863;8270;False;False;False;True;False;50 hz
span;attribute-name;679;8290;False;False;False;False;False;funkcje
a;fancydict;726;8290;True;False;False;False;False;hdr
a;fancydict;757;8290;True;False;False;False;False;smart
