tagName;className;location['x'];location['y'];isLink;hasCurrencySIgn;hasPercantage;hasNumber;hasPriceInName;innerText[:100]
a;fancydict;679;2750;True;False;False;False;False;usb - nagrywanie
a;fancydict;745;2765;True;False;False;False;False;timeshift
a;fancydict;801;2765;True;False;False;False;False;bluetooth
a;fancydict;861;2765;True;False;False;False;False;obsługa głosowa
a;fancydict;679;2765;True;False;False;True;False;hdmi x4
a;fancydict;697;2780;True;False;False;True;False;usb x3
a;depositories-button js-depositories;627;2822;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;2821;True;False;False;False;False;zadzwoń i zamów
div;price-normal selenium-price-normal;1033;2515;False;True;False;True;True;54 999 zł
a;;1033;2652;True;False;False;False;False;darmowy transport
a;shop-delivery-action js-shop-delivery;1033;2677;True;False;False;False;False;do odbioru: już jutro!
span;;1055;2703;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1033;2730;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;2877;True;False;False;True;False;lin 32d1700
em;;498;2908;False;False;False;True;False;(223 opinie)
a;;574;2910;True;False;False;False;False;telewizor led
a;product-brand;649;2910;True;False;False;False;False;lin
a;energy-card js-energy-card;786;2940;True;False;False;False;False;karta produktu
a;js-dictionary;679;2985;True;False;False;False;False;ekran
span;attribute-value;715;2985;False;False;False;True;False;32 cale, hd ready, 1366 x 768
a;js-dictionary;679;3005;True;False;False;False;False;smart tv
span;attribute-value;732;3005;False;False;False;False;False;tak
a;js-dictionary;679;3025;True;False;False;False;False;częstotliwość odświeżania ekranu
span;attribute-value;863;3025;False;False;False;True;False;50 hz
span;attribute-name;679;3045;False;False;False;False;False;funkcje
a;fancydict;726;3045;True;False;False;False;False;smart
a;fancydict;763;3045;True;False;False;False;False;wi-fi
a;fancydict;798;3045;True;False;False;False;False;dlna
a;fancydict;836;3045;True;False;False;False;False;usb - multimedia
a;fancydict;932;3045;True;False;False;True;False;hdmi x2
a;fancydict;679;3060;True;False;False;True;False;usb x2
a;depositories-button js-depositories;627;3175;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;3174;True;False;False;False;False;zadzwoń i zamów
div;price-normal selenium-price-normal;1033;2868;False;True;False;True;True;649 zł
span;price-instalments-label;1072;2938;False;False;False;False;True;raty:
a;price-instalments selenium-price-instalments js-scroll-by-hash;1125;2938;True;True;True;True;True;12,98 zł x 50 rat 0%
a;;1033;3043;True;False;False;False;False;darmowy transport
a;shop-delivery-action js-shop-delivery;1033;3068;True;False;False;False;False;do odbioru: już jutro!
span;;1055;3094;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1033;3121;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;3230;True;False;False;True;False;manta 22lfn38l
em;;498;3261;False;False;False;True;False;(5 opinii)
a;;557;3263;True;False;False;False;False;telewizor led
a;product-brand;632;3263;True;False;False;False;False;manta
a;js-dictionary;679;3338;True;False;False;False;False;ekran
span;attribute-value;715;3338;False;False;False;True;False;22 cale, full hd, 1920 x 1080
a;js-dictionary;679;3358;True;False;False;False;False;częstotliwość odświeżania ekranu
span;attribute-value;863;3358;False;False;False;True;False;50 hz
span;attribute-name;679;3378;False;False;False;False;False;funkcje
a;fancydict;726;3378;True;False;False;False;False;usb - multimedia
a;fancydict;822;3378;True;False;False;True;False;hdmi x1
a;fancydict;875;3378;True;False;False;True;False;usb x1
div;name;695;3420;False;False;False;False;False;ekran:
div;value;740;3420;False;False;False;True;False;22 cale
a;
											variant-item
											js-variant-item
											 active-item variant-one
											;685;3454;True;False;False;False;False;
a;
											variant-item
											js-variant-item
											 variant-one
											;685;3491;True;False;False;False;False;
a;depositories-button js-depositories;627;3528;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;3527;True;False;False;False;False;zadzwoń i zamów
div;price-normal selenium-price-normal;1033;3221;False;True;False;True;True;359 zł
span;price-instalments-label;1080;3291;False;False;False;False;True;raty:
a;price-instalments selenium-price-instalments js-scroll-by-hash;1133;3291;True;True;True;True;True;7,18 zł x 50 rat 0%
a;;1033;3396;True;False;False;False;False;darmowy transport
a;shop-delivery-action js-shop-delivery;1033;3421;True;False;False;False;False;do odbioru: już jutro!
span;;1055;3447;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1033;3474;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;3583;True;False;False;True;False;samsung ue50ru7472u
em;;498;3614;False;False;False;True;False;(41 opinii)
a;;564;3616;True;False;False;False;False;telewizor led
a;product-brand;639;3616;True;False;False;False;False;samsung
a;energy-card js-energy-card;786;3646;True;False;False;False;False;karta produktu
a;js-dictionary;679;3749;True;False;False;False;False;ekran
span;attribute-value;715;3749;False;False;False;True;False;50 cali, 4k uhd, 3840 x 2160
a;js-dictionary;679;3769;True;False;False;False;False;smart tv
span;attribute-value;732;3769;False;False;False;False;False;tak
a;js-dictionary;679;3789;True;False;False;False;False;częstotliwość odświeżania ekranu
span;attribute-value;863;3789;False;False;False;True;False;50 hz
span;attribute-name;679;3809;False;False;False;False;False;funkcje
a;fancydict;726;3809;True;False;False;False;False;hdr
a;fancydict;757;3809;True;False;False;False;False;smart
a;fancydict;794;3809;True;False;False;False;False;wi-fi
a;fancydict;829;3809;True;False;False;False;False;dlna
a;fancydict;867;3809;True;False;False;False;False;usb - multimedia
a;fancydict;679;3824;True;False;False;False;False;bluetooth
a;fancydict;739;3824;True;False;False;False;False;obsługa głosowa
a;fancydict;832;3824;True;False;False;True;False;hdmi x3
a;fancydict;885;3824;True;False;False;True;False;usb x2
div;name;695;3866;False;False;False;False;False;ekran:
div;value;740;3866;False;False;False;True;False;50 cali
a;
											variant-item
											js-variant-item
											 variant-one
											;685;3900;True;False;False;False;False;
a;
											variant-item
											js-variant-item
											 active-item variant-one
											;685;3937;True;False;False;False;False;
a;
											variant-item
											js-variant-item
											 variant-one
											;685;3974;True;False;False;False;False;
a;
											variant-item
											js-variant-item
											 variant-one
											;685;4011;True;False;False;False;False;
